출발책,출발ISBN,출발KDC,출발대분류,도착책,도착ISBN,도착KDC,도착대분류,엣지종류,순위,교차,도착이씨앗,상호
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 수수께끼,9791158681746,3,사회과학,마니아,1,True,False,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 영단어,9791158681722,7,언어,마니아,2,True,False,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 관용구,9791158681487,7,언어,마니아,3,True,True,True
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 맞춤법,9791158681647,7,언어,마니아,4,True,True,True
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 명심보감,9791158681791,1,철학,마니아,5,True,False,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 해 보는) 어린이 게임,9791158681395,6,예술,마니아,6,True,True,True
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 고사성어,9791158681531,7,언어,마니아,7,True,True,True
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 속담,9791158681258,3,사회과학,마니아,8,True,False,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 사자소학,9791158681630,1,철학,마니아,9,True,False,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 속담,9791158681883,3,사회과학,마니아,10,True,False,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 감정 표현,9791158682842,1,철학,다독자,1,True,False,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 맞춤법 행성,9791158682538,7,언어,다독자,2,True,True,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 세계 여행,9791158682798,9,역사,다독자,3,True,True,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 세계사 퀴즈,9791158682637,9,역사,다독자,4,True,False,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 OX 퀴즈,9791158682934,0,총류,다독자,5,False,False,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 세계사 퀴즈,9791158682712,9,역사,다독자,6,True,False,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 수수께끼 :공포 특급,9791158682446,3,사회과학,다독자,7,True,False,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 초등 교과 어휘,9791158682965,7,언어,다독자,8,True,False,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 수수께끼,9791158681746,3,사회과학,다독자,9,True,False,False
(읽으면서 바로 써먹는) 어린이 퀴즈,9791158681609,0,총류,(읽으면서 바로 써먹는) 어린이 신체 관용구,9791158681999,7,언어,다독자,10,True,True,False
타키포오 얼렁뚱땅 상식스쿨,9791171241675,0,총류,타키 포오의 코믹 어드벤처 2 - 캐릭온TV 오리지널 코믹스,9791169794886,,미상,함께대출,5,False,False,False
타키포오 얼렁뚱땅 상식스쿨,9791171241675,0,총류,타키포오 코믹 어드벤처,9791169794893,8,문학,함께대출,6,True,False,False
타키포오 얼렁뚱땅 상식스쿨,9791171241675,0,총류,(타키·포오의) 이세계 여행사,9791170626633,8,문학,함께대출,7,True,False,False
타키포오 얼렁뚱땅 상식스쿨,9791171241675,0,총류,타키포오 코믹 어드벤처,9791169794879,8,문학,함께대출,8,True,False,False
타키포오 얼렁뚱땅 상식스쿨,9791171241675,0,총류,(타키·포오의) 이세계 여행사,9791170621270,8,문학,함께대출,9,True,False,False
타키포오 얼렁뚱땅 상식스쿨,9791171241675,0,총류,(타키·포오의) 이세계 여행사,9791169794183,8,문학,함께대출,10,True,False,False
타키포오 얼렁뚱땅 상식스쿨,9791171241675,0,총류,타키 포오의 코믹 어드벤처 6 - 캐릭온TV 오리지널 코믹스,9791171249480,,미상,마니아,8,False,False,False
타키포오 얼렁뚱땅 상식스쿨,9791171241675,0,총류,타키·포오 탐정사무소,9791172456597,9,역사,마니아,9,True,False,False
타키포오 얼렁뚱땅 상식스쿨,9791171241675,0,총류,(허징의 수상한) 만물상점,9791172458577,8,문학,마니아,10,True,False,False
타키포오 얼렁뚱땅 상식스쿨,9791171241675,0,총류,타키·포오 탐정사무소,9791172456597,9,역사,다독자,7,True,False,False
타키포오 얼렁뚱땅 상식스쿨,9791171241675,0,총류,타키포오 코믹 어드벤처,9791169794893,8,문학,다독자,8,True,False,False
타키포오 얼렁뚱땅 상식스쿨,9791171241675,0,총류,타키포오 코믹 어드벤처,9791171249466,8,문학,다독자,9,True,False,False
타키포오 얼렁뚱땅 상식스쿨,9791171241675,0,총류,타키 포오의 코믹 어드벤처 2 - 캐릭온TV 오리지널 코믹스,9791169794886,,미상,다독자,10,False,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,9788901276533,8,문학,함께대출,1,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,트러스트 :에르난 디아스 장편소설,9788954691673,8,문학,함께대출,2,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,맡겨진 소녀 :클레어 키건 소설,9791130698199,8,문학,함께대출,3,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,아주 희미한 빛으로도 :최은영 소설,9788954695053,8,문학,함께대출,4,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,이주하는 인류 :인구 대이동과 그들이 써내려간 역동의 세계사,9791192519135,3,사회과학,함께대출,5,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,이처럼 사소한 것들 :클레어 키건 소설,9791130646381,8,문학,함께대출,6,True,True,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,철학은 날씨를 바꾼다 :삶을 쓰다듬는 위안의 책,9788934971351,1,철학,함께대출,7,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",9791189327156,4,자연과학,함께대출,8,True,True,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,두 사람의 인터내셔널 :김기태 소설,9788954697941,8,문학,함께대출,9,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",9791167740984,1,철학,함께대출,10,True,True,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,이주하는 인류 :인구 대이동과 그들이 써내려간 역동의 세계사,9791192519135,3,사회과학,마니아,1,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,우리가 작별 인사를 할 때마다,9788932475011,8,문학,마니아,2,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,부처스 크로싱,9791187886921,8,문학,마니아,3,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,컬트 :세상을 경악시킨 집단 광기의 역사,9788932475066,3,사회과학,마니아,4,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,컬처 :하버드대 마틴 푸크너의 인류 문화 오디세이,9791167741370,9,역사,마니아,5,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,페이머스 :왜 그들만 유명할까,9788947549967,3,사회과학,마니아,6,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,세계를 움직인 열 가지 프레임 :현대 문명의 본질과 허상을 단숨에 꿰뚫는 세계사,9791164052547,9,역사,마니아,7,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,"센세이셔널 :우리가 보고, 듣고, 느끼는 모든 것",9791192389530,5,기술과학,마니아,8,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,페이크와 팩트 :왜 합리적 인류는 때때로 멍청해지는가,9791193591147,1,철학,마니아,9,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,철학은 날씨를 바꾼다 :삶을 쓰다듬는 위안의 책,9788934971351,1,철학,마니아,10,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,9788901276533,8,문학,다독자,1,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,트러스트 :에르난 디아스 장편소설,9788954691673,8,문학,다독자,2,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,맡겨진 소녀 :클레어 키건 소설,9791130698199,8,문학,다독자,3,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,두 사람의 인터내셔널 :김기태 소설,9788954697941,8,문학,다독자,4,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,아주 희미한 빛으로도 :최은영 소설,9788954695053,8,문학,다독자,5,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,철학은 날씨를 바꾼다 :삶을 쓰다듬는 위안의 책,9788934971351,1,철학,다독자,6,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,이처럼 사소한 것들 :클레어 키건 소설,9791130646381,8,문학,다독자,7,True,True,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,이주하는 인류 :인구 대이동과 그들이 써내려간 역동의 세계사,9791192519135,3,사회과학,다독자,8,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,대온실 수리 보고서 :김금희 장편소설,9788936439651,8,문학,다독자,9,True,False,False
세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,9791192953151,0,총류,"경험의 멸종 :기술이 경험을 대체하는 시대, 인간은 계속 인간일 수 있을까",9791167742063,3,사회과학,다독자,10,True,False,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서,9791190313131,0,총류,함께대출,2,False,False,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,불편한 편의점 :김호연 장편소설,9791161571188,8,문학,함께대출,4,True,True,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",9791189327156,4,자연과학,함께대출,6,True,True,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,소년이 온다 :한강 장편소설,9788936434120,8,문학,함께대출,7,True,True,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,지적 대화를 위한 넓고 얕은 지식 ∞ :지식과 지혜를 실천으로 이끄는 마음 여행서,9791192097978,0,총류,함께대출,8,False,False,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,모순 :양귀자 장편소설,9788998441012,8,문학,함께대출,9,True,False,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,세이노의 가르침 :피보다 진하게 살아라,9791168473690,3,사회과학,함께대출,10,True,True,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서,9791190313131,0,총류,마니아,2,False,False,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,"시민의 교양 :지금, 여기, 보통 사람들을 위한 현실 인문학",9791195677108,0,총류,마니아,4,False,False,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,지적 대화를 위한 넓고 얕은 지식 ∞ :지식과 지혜를 실천으로 이끄는 마음 여행서,9791192097978,0,총류,마니아,5,False,False,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,"우리는 언젠가 만난다 :나, 타인, 세계를 이어주는 40가지 눈부신 이야기",9791188248124,0,총류,마니아,6,False,False,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,열한 계단 :나를 흔들어 키운 불편한 지식들,9791195677153,0,총류,마니아,7,False,False,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,"(1일 1페이지, 세상에서 가장 짧은) 교양 수업 365",9791190305679,9,역사,마니아,9,True,False,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,(지적인 현대인을 위한) 지식 편의점,9788965963851,0,총류,마니아,10,False,False,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서,9791190313131,0,총류,다독자,2,False,False,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,지적 대화를 위한 넓고 얕은 지식 ∞ :지식과 지혜를 실천으로 이끄는 마음 여행서,9791192097978,0,총류,다독자,3,False,False,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",9791167740984,1,철학,다독자,4,True,True,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,세이노의 가르침 :피보다 진하게 살아라,9791168473690,3,사회과학,다독자,6,True,True,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",9791189327156,4,자연과학,다독자,7,True,True,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,불편한 편의점 :김호연 장편소설,9791161571188,8,문학,다독자,8,True,True,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,9791192300818,1,철학,다독자,9,True,True,False
지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,9791190313186,0,총류,불편한 편의점 :김호연 장편소설,9791161571379,8,문학,다독자,10,True,False,False
팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,9791169254069,0,총류,흔한남매 이상한 나라의 고전 읽기,9791168413955,8,문학,함께대출,8,True,False,False
팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,9791169254069,0,총류,흔한남매 이상한 나라의 고전 읽기,9791168415034,8,문학,함께대출,9,True,False,False
팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,9791169254069,0,총류,채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식,9791197578410,0,총류,함께대출,10,False,True,False
팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,9791169254069,0,총류,(초등학생이 알아야 할) 세상의 비밀 100가지,9791190896979,0,총류,마니아,8,False,False,False
팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,9791169254069,0,총류,"생각의 탄생 :생각이 번쩍, 미래가 반짝!",9788950942762,0,총류,마니아,9,False,False,False
팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,9791169254069,0,총류,팜 :기발한 상상력이 가득한 판타지 코딩과학동화,9791160509441,0,총류,마니아,10,False,False,False
팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,9791169254069,0,총류,흔한남매 이상한 나라의 고전 읽기,9791168415034,8,문학,다독자,8,True,False,False
팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,9791169254069,0,총류,물리박사 김상욱의 수상한 연구실 :어린이를 위한 세상의 모든 과학,9791171171019,4,자연과학,다독자,9,True,True,False
팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,9791169254069,0,총류,흔한남매 이상한 나라의 고전 읽기,9791168416314,8,문학,다독자,10,True,False,False
공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,9791196316808,0,총류,"다시, 공부머리 독서법",9791196316860,0,총류,함께대출,1,False,False,False
