isbn_a,isbn_b,title_a,title_b,category_a,category_b,cross_category,reciprocal,rank_score,hub_correction,weight,recommendation_validation
9791189686536,9791189686826,"이 책은 돈 버는 법에 관한 이야기 :서민갑부 고명환의 생각법, 독서법, 장사법",나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,사회과학,총류,True,False,1.0,1.0,1.0,2
9788934951278,9791191426090,(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,(애매한 것을 속 시원하게 알려 주는) 알쏭달쏭 상담소,총류,기술과학,True,False,1.0,1.0,1.0,2
9791196334703,9791198553317,지방 대사 켜는 스위치온 다이어트,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,기술과학,False,False,1.0,1.0,1.0,2
9788957361900,9788957361955,의사 어벤저스 :어린이 의학 동화,어린 왕자,기술과학,문학,True,False,1.0,1.0,1.0,2
9788954690690,9791167550712,리보와 앤 :아무도 오지 않는 도서관의 두 로봇,"왜 유명한 거야, 이 그림?",문학,예술,True,False,1.0,1.0,1.0,1
9791186494431,9791186494561,세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,(네모아저씨의) 페이퍼 블레이드,예술,미상,False,False,1.0,1.0,1.0,2
9791188331796,9791191056372,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,돈의 심리학 :당신은 왜 부자가 되지 못했는가,사회과학,사회과학,False,True,2.0,0.474,0.9473,1
9791186073995,9791198381811,야구 잘하는 50가지 비밀 :진짜 진짜 야구 잘하고 싶은 어린이만 보는 책!,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,미상,예술,False,False,0.9,1.0,0.9,2
9791196316808,9791196848194,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,수학 잘하는 아이는 이렇게 공부합니다 :수학이 어려운 엄마를 위한 전략적 학습 로드맵,총류,자연과학,True,False,0.9,1.0,0.9,1
9791190007320,9791190007412,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,단순할 줄 알았는데 짜릿해! 농구 만화 도감,예술,미상,False,False,0.9,1.0,0.9,2
9788954691673,9791192953151,트러스트 :에르난 디아스 장편소설,세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,문학,총류,True,False,0.9,1.0,0.9,1
9788952234650,9791168127531,아들 때문에 미쳐버릴 것 같은 엄마들에게 :큰 소리 내지 않고 아이를 키우는 법,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,기술과학,False,False,0.9,1.0,0.9,2
9791190007245,9791190007320,야구 만화 도감 :어려울 줄 알았는데 재밌어!,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,예술,예술,False,False,1.0,0.834,0.834,2
9791190007245,9791198381811,야구 만화 도감 :어려울 줄 알았는데 재밌어!,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,예술,예술,False,False,1.0,0.834,0.834,2
9791130648385,9791190382502,인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",예술,예술,False,False,1.0,0.834,0.834,2
9791170610359,9791191211467,시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals,그냥 하지 말라 :당신의 모든 것이 메시지다 =Don't just do it! : your every move is the message,사회과학,사회과학,False,False,0.8,1.0,0.8,2
9791164052035,9791168127531,조선미의 현실 육아 상담소,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,기술과학,False,False,0.8,1.0,0.8,2
9788934942641,9788934990987,놓지 마 맞춤법,놓지 마 어휘 :한자어,언어,언어,False,True,0.8,1.0,0.8,2
9788949122021,9791167550712,한성이 서울에게,"왜 유명한 거야, 이 그림?",문학,예술,True,False,0.8,1.0,0.8,1
9791158682538,9791198381811,(읽으면서 바로 써먹는) 어린이 맞춤법 행성,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,언어,예술,True,False,0.8,1.0,0.8,1
9788965138068,9791192836188,그의 운명에 대한 아주 개인적인 생각,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,사회과학,자연과학,True,False,0.8,1.0,0.8,2
9788934972464,9788970127248,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문","총, 균, 쇠 :무기·병균·금속은 인류의 운명을 어떻게 바꿨는가",역사,사회과학,True,False,0.8,1.0,0.8,1
9791190538510,9791198013026,만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,철학,사회과학,True,True,1.3,0.614,0.7988,2
9791189686826,9791193939130,나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,고전이 답했다 :마땅히 살아야 할 삶에 대하여,총류,철학,True,False,0.9,0.834,0.7506,1
9788901260716,9791188331796,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,사회과학,False,True,1.8,0.405,0.7285,1
9791166891496,9791192836188,하늘과 바람과 별과 인간 :원자에서 인간까지,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,자연과학,자연과학,False,False,0.7,1.0,0.7,2
9788934972464,9788934977841,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",호모 데우스 :미래의 역사,역사,미상,False,False,0.7,1.0,0.7,1
9791168127531,9791191347456,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",아들의 뇌 =딸로 태어난 엄마들을 위한 아들 사용 설명서 /Son's brain,기술과학,기술과학,False,False,0.7,1.0,0.7,2
9791167550712,9791169811361,"왜 유명한 거야, 이 그림?",열세 살의 걷기 클럽 :김혜정 창작동화,예술,문학,True,False,0.7,1.0,0.7,1
9788901260716,9791158510619,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,사회과학,사회과학,False,True,1.7,0.405,0.688,1
9791162540640,9791191056372,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,돈의 심리학 :당신은 왜 부자가 되지 못했는가,철학,사회과학,True,True,1.2,0.571,0.6849,0
9788934965404,9791198752406,국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,사회과학,기술과학,True,False,1.0,0.668,0.6679,1
9791130698199,9791192953151,맡겨진 소녀 :클레어 키건 소설,세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,문학,총류,True,False,0.8,0.834,0.6672,1
9788954677158,9791167550712,긴긴밤,"왜 유명한 거야, 이 그림?",문학,예술,True,False,0.9,0.737,0.6631,1
9791141606862,9791198553317,저속노화 식사법 :노년내과 의사가 알려주는 기적의 식단 혁명,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,기술과학,False,False,0.9,0.737,0.6631,1
9791141606862,9791193080146,저속노화 식사법 :노년내과 의사가 알려주는 기적의 식단 혁명,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,기술과학,기술과학,False,False,0.9,0.737,0.6631,2
9791192300245,9791192300818,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,철학,철학,False,True,1.9,0.321,0.6104,2
9788954681155,9788954681179,홍학의 자리 :정해연 장편소설,밝은 밤 :최은영 장편소설,문학,문학,False,False,0.9,0.668,0.6011,1
9791169794886,9791171241675,타키 포오의 코믹 어드벤처 2 - 캐릭온TV 오리지널 코믹스,타키포오 얼렁뚱땅 상식스쿨,미상,총류,False,False,0.6,1.0,0.6,1
9791168127531,9791193506202,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,기술과학,기술과학,False,False,0.6,1.0,0.6,1
9791192519135,9791192953151,이주하는 인류 :인구 대이동과 그들이 써내려간 역동의 세계사,세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,사회과학,총류,True,False,0.6,1.0,0.6,2
9791130621968,9791198243430,역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,역사,역사,False,False,0.6,1.0,0.6,2
9788949121994,9791167550712,천하제일 치킨 쇼,"왜 유명한 거야, 이 그림?",문학,예술,True,False,0.6,1.0,0.6,0
9788930041683,9791130648385,허송세월 :김훈 산문,인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,문학,예술,True,False,0.6,1.0,0.6,1
9788947542623,9791189686826,책 읽고 매출의 신이 되다,나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,사회과학,총류,True,False,0.6,1.0,0.6,2
9791192300245,9791192625553,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,철학,철학,False,True,0.8,0.737,0.5895,1
9791140702589,9791141606862,당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,저속노화 식사법 :노년내과 의사가 알려주는 기적의 식단 혁명,기술과학,기술과학,False,False,0.8,0.737,0.5895,1
9788936447014,9788936447694,아홉 살 마음 사전,고양이 해결사 깜냥,철학,문학,True,False,0.8,0.737,0.5895,0
9791191859836,9791193939130,나는 읽고 쓰고 버린다 :손웅정의 말,고전이 답했다 :마땅히 살아야 할 삶에 대하여,예술,철학,True,False,0.7,0.834,0.5838,1
9791198682550,9791198752406,너에게 들려주는 단단한 말,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,철학,기술과학,True,False,0.7,0.834,0.5838,1
9788936447014,9788949161341,아홉 살 마음 사전,만복이네 떡집,철학,문학,True,False,0.7,0.834,0.5838,0
9788934990987,9791168122369,놓지 마 어휘 :한자어,놓지 마 과학!,언어,자연과학,True,False,0.7,0.834,0.5838,1
9791140702589,9791198553317,당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,기술과학,False,False,0.7,0.834,0.5838,1
9791162540640,9791188331796,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,철학,사회과학,True,True,1.2,0.474,0.5684,0
9791158510619,9791188331796,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,사회과학,False,True,1.2,0.474,0.5684,1
9788936434120,9788954682152,소년이 온다 :한강 장편소설,작별하지 않는다 :한강 장편소설,문학,문학,False,True,2.0,0.282,0.5647,2
9788954681179,9788954695053,밝은 밤 :최은영 장편소설,아주 희미한 빛으로도 :최은영 소설,문학,문학,False,False,0.8,0.668,0.5343,2
9788954695053,9791192953151,아주 희미한 빛으로도 :최은영 소설,세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,문학,총류,True,False,0.7,0.737,0.5158,1
9788936447694,9791196316808,고양이 해결사 깜냥,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,문학,총류,True,False,0.7,0.737,0.5158,0
9788934942641,9791168122369,놓지 마 맞춤법,놓지 마 과학!,언어,자연과학,True,False,0.6,0.834,0.5004,1
9791158773120,9791198553317,(건강과 다이어트를 동시에 잡는) 채소·과일식 :단순하면서 자연스러운 가장 효과적인 식단,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,기술과학,False,False,0.6,0.834,0.5004,1
9791190007320,9791198381811,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,예술,예술,False,False,0.5,1.0,0.5,1
9791191438406,9791192836188,거꾸로 읽는 세계사,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,역사,자연과학,True,False,0.5,1.0,0.5,0
9788954674638,9791167550712,5번 레인,"왜 유명한 거야, 이 그림?",문학,예술,True,False,0.5,1.0,0.5,0
9791169794893,9791171241675,타키포오 코믹 어드벤처,타키포오 얼렁뚱땅 상식스쿨,문학,총류,True,False,0.5,1.0,0.5,1
9788932473901,9788934972464,이기적 유전자,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",자연과학,역사,True,False,0.5,1.0,0.5,0
9791190382502,9791198013026,"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,예술,사회과학,True,False,0.8,0.614,0.4916,1
9788901260716,9791168473690,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,세이노의 가르침 :피보다 진하게 살아라,사회과학,사회과학,False,True,2.0,0.239,0.4774,2
9791169850445,9791198682505,남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,나를 소모하지 않는 현명한 태도에 관하여,철학,철학,False,False,0.7,0.668,0.4675,1
9788998441012,9791189327156,모순 :양귀자 장편소설,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",문학,자연과학,True,False,0.9,0.502,0.4517,0
9788965965046,9791189327156,도파민네이션 :쾌락 과잉 시대에서 균형 찾기,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",철학,자연과학,True,False,0.9,0.502,0.4517,1
9791130689890,9791189327156,내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",종교,자연과학,True,False,0.9,0.502,0.4517,0
9791191891287,9791198530325,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,메리골드 마음 사진관 =윤정은 장편소설 /Marigold mind photo studio,문학,문학,False,False,1.0,0.448,0.4484,2
9788965965046,9791162540640,도파민네이션 :쾌락 과잉 시대에서 균형 찾기,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,철학,철학,False,False,0.7,0.614,0.4301,0
9788901276533,9791192953151,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,문학,총류,True,False,1.0,0.426,0.4256,1
9788997575169,9791162540640,원씽 :복잡한 세상을 이기는 단순함의 힘,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,사회과학,철학,True,False,1.0,0.426,0.4256,1
9791130646381,9791130698199,이처럼 사소한 것들 :클레어 키건 소설,맡겨진 소녀 :클레어 키건 소설,문학,문학,False,False,1.0,0.426,0.4256,2
9788901260716,9791192389325,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,사회과학,사회과학,False,True,1.2,0.351,0.4215,1
9791192389325,9791198517425,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,사회과학,사회과학,False,True,1.2,0.351,0.4215,1
9791190409124,9791196316808,똥볶이 할멈 :K-히어로 판타지,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,문학,총류,True,False,0.5,0.834,0.417,0
9788950941819,9791168127531,"(세상에서 가장 쉬운) 본질육아 :삶의 근본을 보여주는 부모, 삶을 스스로 개척하는 아이","최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,기술과학,False,False,0.5,0.834,0.417,0
9788934951278,9791168411685,(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,흔한남매,총류,문학,True,False,0.9,0.448,0.4036,1
9791165341909,9791191891287,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,문학,문학,False,True,0.9,0.448,0.4036,2
9788954681155,9791189327156,홍학의 자리 :정해연 장편소설,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",문학,자연과학,True,False,0.8,0.502,0.4015,0
9791140702589,9791190538510,당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,기술과학,철학,True,False,0.6,0.668,0.4007,0
9788949123493,9791198752406,순례 주택 :유은실 소설,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,문학,기술과학,True,False,0.6,0.668,0.4007,1
9788934965404,9791196316808,국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,사회과학,총류,True,False,0.6,0.668,0.4007,1
9791169851053,9791198682505,어른의 행복은 조용하다,나를 소모하지 않는 현명한 태도에 관하여,문학,철학,True,False,0.6,0.668,0.4007,1
9791198517425,9791198682505,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,나를 소모하지 않는 현명한 태도에 관하여,사회과학,철학,True,True,0.6,0.668,0.4007,1
9791170610359,9791198517425,시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,사회과학,사회과학,False,False,0.6,0.668,0.4007,1
9788954641630,9788954681179,쇼코의 미소 :최은영 소설,밝은 밤 :최은영 장편소설,문학,문학,False,False,0.6,0.668,0.4007,1
9791164052356,9791168127531,(좌절내구력 강한 아이로 키우는) 조선미의 초등생활 상담소,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,기술과학,False,False,0.4,1.0,0.4,2
9791130696614,9791191496949,만화 한국 신화 :어린이를 위한 우리 인문학,(설민석의) 그리스 로마 신화 대모험,종교,종교,False,False,0.4,1.0,0.4,0
9788936447014,9788949162058,아홉 살 마음 사전,소원 떡집,철학,문학,True,False,0.4,1.0,0.4,0
9788934971351,9791192953151,철학은 날씨를 바꾼다 :삶을 쓰다듬는 위안의 책,세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,철학,총류,True,False,0.4,1.0,0.4,2
9791170626633,9791171241675,(타키·포오의) 이세계 여행사,타키포오 얼렁뚱땅 상식스쿨,문학,총류,True,False,0.4,1.0,0.4,0
9788936442804,9791167550712,푸른 사자 와니니 :이현 장편동화,"왜 유명한 거야, 이 그림?",문학,예술,True,False,0.4,1.0,0.4,0
9788965913085,9791198381811,생각하는 야구 교과서 :어린이를 위한 야구의 모든 것,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,미상,예술,False,False,0.4,1.0,0.4,1
9791165341909,9791197377143,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",문학,문학,False,False,0.7,0.571,0.3995,2
9791158883591,9791191056372,부자 아빠 가난한 아빠 :20주년 특별 기념판,돈의 심리학 :당신은 왜 부자가 되지 못했는가,사회과학,사회과학,False,False,0.7,0.571,0.3995,0
9788997575169,9791158510619,원씽 :복잡한 세상을 이기는 단순함의 힘,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,사회과학,사회과학,False,False,0.9,0.426,0.383,0
9791130646381,9791198682505,이처럼 사소한 것들 :클레어 키건 소설,나를 소모하지 않는 현명한 태도에 관하여,문학,철학,True,False,0.9,0.426,0.383,1
9791158883591,9791188331796,부자 아빠 가난한 아빠 :20주년 특별 기념판,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,사회과학,False,False,0.8,0.474,0.3789,0
9788936447694,9791130679990,고양이 해결사 깜냥,낭만 강아지 봉봉,문학,문학,False,False,0.5,0.737,0.3684,2
9788934972464,9788936434120,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",소년이 온다 :한강 장편소설,역사,문학,True,False,0.9,0.405,0.3643,0
9788936433598,9788936434120,채식주의자:한강 연작소설,소년이 온다 :한강 장편소설,문학,문학,False,False,0.9,0.405,0.3643,2
9791168411685,9791190007320,흔한남매,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,문학,예술,True,False,0.8,0.448,0.3587,1
9791189327156,9791191824001,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",지구 끝의 온실 :김초엽 장편소설,자연과학,문학,True,False,0.7,0.502,0.3513,0
9791130646381,9791130689890,이처럼 사소한 것들 :클레어 키건 소설,내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,문학,종교,True,False,0.8,0.426,0.3405,1
9791168473690,9791188331796,세이노의 가르침 :피보다 진하게 살아라,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,사회과학,False,True,1.4,0.239,0.3341,1
9788954672214,9788954681179,"시선으로부터, :정세랑 장편소설",밝은 밤 :최은영 장편소설,문학,문학,False,False,0.5,0.668,0.334,1
9791190538510,9791192300245,만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,철학,철학,False,False,0.5,0.668,0.334,0
9788936434267,9791165341909,아몬드 :손원평 장편소설,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,문학,문학,False,False,0.4,0.834,0.3336,0
9788936438838,9788954681179,아버지의 해방일지 :정지아 장편소설,밝은 밤 :최은영 장편소설,문학,문학,False,True,1.8,0.185,0.3334,1
9791188331796,9791189686826,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,사회과학,총류,True,False,0.7,0.474,0.3315,1
9788901260716,9788997575169,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,원씽 :복잡한 세상을 이기는 단순함의 힘,사회과학,사회과학,False,False,0.8,0.405,0.3238,1
9791169850445,9791192300818,남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,철학,철학,False,False,1.0,0.321,0.3213,2
9791192300818,9791198682505,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,나를 소모하지 않는 현명한 태도에 관하여,철학,철학,False,False,1.0,0.321,0.3213,2
9791130648385,9791192389325,인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,예술,사회과학,True,False,0.9,0.351,0.3161,1
9791191056372,9791192389325,돈의 심리학 :당신은 왜 부자가 되지 못했는가,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,사회과학,사회과학,False,True,0.9,0.351,0.3161,1
9791167740984,9791168473690,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",세이노의 가르침 :피보다 진하게 살아라,철학,사회과학,True,True,1.5,0.21,0.3157,1
9791191891287,9791192579504,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,바다가 들리는 편의점,문학,문학,False,False,0.7,0.448,0.3139,2
9791168411685,9791198381811,흔한남매,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,문학,예술,True,False,0.7,0.448,0.3139,1
9788954681179,9791189327156,밝은 밤 :최은영 장편소설,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",문학,자연과학,True,False,0.6,0.502,0.3011,0
9791160949797,9791167550712,기소영의 친구들 :정은주 창작동화,"왜 유명한 거야, 이 그림?",문학,예술,True,False,0.3,1.0,0.3,0
9788901285146,9791198553317,해독 혁명 =질병 없는 몸을 위한 5단계 독소 해방 /Detox revolution,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,기술과학,False,False,0.3,1.0,0.3,1
9791130646381,9791141601300,이처럼 사소한 것들 :클레어 키건 소설,이중 하나는 거짓말 :김애란 장편소설,문학,문학,False,False,0.7,0.426,0.2979,2
9788954677158,9791196316808,긴긴밤,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,문학,총류,True,False,0.4,0.737,0.2947,0
9788936447694,9791190409124,고양이 해결사 깜냥,똥볶이 할멈 :K-히어로 판타지,문학,문학,False,False,0.4,0.737,0.2947,0
